artwork_title,description_text,index,url
"The Herring Net, 1885, Winslow Homer","In 1883 Winslow Homer moved to the small coastal village of Prouts Neck, Maine, where he created a series of paintings of the sea unparalleled in American art. Long inspired by the subject, Homer had spent summers visiting New England fishing villages during the 1870s, and in 1881–82 he made a trip to a fishing community in Cullercoats, England, that fundamentally changed his work and his life. The paintings he created after 1882 focus almost exclusively on humankind’s age-old contest with nature. Here Homer depicted the heroic efforts of fishermen at their daily work, hauling in an abundant catch of herring. In a small dory, two figures loom large against the mist on the horizon, through which the sails of the mother schooners are dimly visible. While one fisherman hauls in the netted and glistening herring, the other unloads the catch. Utilizing the teamwork so necessary for survival, both strive to steady the precarious boat as it rides the incoming swells. Homer’s isolation of these two figures underscores the monumentality of their task: the elemental struggle against a sea that both nurtures and deprives.",50.0,https://www.artic.edu/artworks/25865/the-herring-net
"Clown Torture, 1987, Bruce Nauman","Bruce Nauman’s wildly influential, relentlessly imitated work explores the poetics of confusion, anxiety, boredom, entrapment, and failure. One of the artist’s most spectacular achievements to date, Clown Torture consists of two rectangular pedestals, each supporting two pairs of stacked color monitors; two large color-video projections on two facing walls; and sound from all six video displays. The monitors play four narrative sequences in perpetual loops, each chronicling an absurd misadventure of a clown (played to brilliant effect by the actor Walter Stevens). In “No, No, No, No (Walter),” the clown incessantly screams the word no while jumping, kicking, or lying down; in “Clown with Goldfish,” the clown struggles to balance a fish bowl on the ceiling with the handle of a broom; in “Clown with Water Bucket,” the clown repeatedly opens a door booby-trapped with a bucket of water that falls on his head; and finally, in “Pete and Repeat,” the clown succumbs to the terror of a seemingly inescapable nursery rhyme. The simultaneous presentation and the relentless repetition creates an almost painful sensory overload. With both clown and viewer locked in an endless loop of failure and degradation, the humor soon turns to horror.",51.0,https://www.artic.edu/artworks/146989/clown-torture
"The Girl by the Window, 1893, Edvard Munch","Edvard Munch’s life and art — particularly his iconic work The Scream (1893; National Museum, Oslo) — have come to epitomize modern notions of anxiety. Yet the same year he painted his radical image, Munch was experimenting with other styles and themes. Frequent visits to Paris and Berlin between 1889 and 1893 brought the Norwegian artist into direct contact with the Impressionists and Symbolists. These travels encouraged him to adopt their bold brushwork, daring compositions, and imagery. But he nonetheless continued to incorporate the Romantic subjects of the northern European artists long familiar to him, such as a lone figure at an open window. This combination is powerfully manifested in The Girl by the Window, made soon after his return home to Norway.",52.0,https://www.artic.edu/artworks/154235/the-girl-by-the-window
"The Girl by the Window, 1893, Edvard Munch","In the dead of night, a young girl in her nightgown stands in a darkened room gazing out at the city. The steep angle of the floor and the deep shadows that obliterate everything in the room, save a suggestion of a piece of furniture at the lower right, create an unsettling and enigmatic scene. Loosely applied, somber brown tones mingle with violets and blues, evoking a feeling of melancholy and anticipation. The window functions as a symbolic barrier, separating the interior from the outside world. The sense of mystery is deepened and complicated by the fact that we cannot see the expression on the girl’s face, nor do we know what she covertly observes. She in turn appears unaware that, as she gazes from behind the curtain at something unknown outside, the artist and implied viewer are watching her.",52.0,https://www.artic.edu/artworks/154235/the-girl-by-the-window
"Champs de Mars: The Red Tower, 1911/23, Robert Delaunay","Robert Delaunay was four years old when the Eiffel Tower was erected in Paris in the public green space known as the Champ de Mars. One of many artists to depict the landmark, Delaunay did a series of Eiffel Tower paintings, of which the Art Institute’s example is among the best known. The artist infused the dynamism of modern life into this image by employing multiple viewpoints, rhythmic fragmentation of form, and strong color contrasts. Delaunay accented the structure’s towering presence by framing it with tall buildings and placing smaller, shorter buildings, seen from above, at its base. The top of the tower seems to soar, its massive structure augmented by winglike clouds and patches of light-filled sky.",53.0,https://www.artic.edu/artworks/9503/champs-de-mars-the-red-tower
"Champs de Mars: The Red Tower, 1911/23, Robert Delaunay","The artist first showed this painting in the winter of 1912, at the Galerie Barbazanges in Paris, where Guillaume Apollinaire described the work in a review as “unfinished, whether by design or accident.” Although Delaunay’s intent is not recorded, it is certain that by 1923, when this work was illustrated in the pages of the Bulletin de l’effort modern, it looked as it does today: the artist had repainted portions of the canvas and filled areas of reserve with paint.",53.0,https://www.artic.edu/artworks/9503/champs-de-mars-the-red-tower
"Mother and Child, 1921, Pablo Picasso","In 1917 Picasso traveled to Rome to design sets and costumes for Sergei Diaghilev’s famed Ballets Russes. Deeply impressed by the ancient and Renaissance art of that city, he began painting monumental figures inspired by antiquity. His new classical style was influenced by the finely modeled odalisques of Jean-Auguste-Dominique Ingres and the late, oddly proportioned female nudes of Pierre-Auguste Renoir. Mother and Child was also inspired by Picasso’s own life. Just three years earlier he had married Russian dancer Olga Khokhlova, and in 1921 their son Paolo was born. Between 1921 and 1923 he produced at least twelve works on the subject of mothers and children, returning to a theme that he had explored during his Blue Period. But whereas those figures are frail and anguished, his classical-period figures, with their sculptural modeling and solidity, are majestic in proportion and feeling. Here an infant sits on the mother’s lap and reaches up to touch her. The woman, dressed in a Grecian gown, gazes intently at her child. Behind them stretches a simplified background of sand, water, and sky. Picasso’s treatment of the pair is not sentimental, but the relationship expresses a serenity and stability that characterized his own life at this time.",54.0,https://www.artic.edu/artworks/109275/mother-and-child
"The Bay of Marseille, Seen from L’Estaque, c. 1885, Paul Cézanne","In a letter to his friend and teacher Camille Pissarro, Paul Cézanne compared the view of the sea from L’Estaque to a playing card, with its simple shapes and colors. The landscape’s configuration and color fascinated him. This painting is one of more than a dozen such vistas created by the artist during the 1880s. Cézanne divided the canvas into four zones—architecture, water, mountain, and sky. Although these four elements are seen repeatedly in Impressionist paintings, Cézanne’s work is very different from that of his fellow artists. Whereas their primary purpose was to record the transient effects of light, Cézanne was interested in the underlying structure and composition of the views he painted. Filling the canvas with shapes defined by strong, contrasting colors and a complex grid of horizontal, vertical, and diagonal lines, he created a highly compact, dynamic pattern of water, sky, land, and village that at once refers back to traditionally structured landscape paintings and looks forward to the innovations of Cubism. Using blocklike brushstrokes to build the space, Cézanne created a composition that seems both two- and three-dimensional. Not locked tightly in place, his forms appear to touch and shift continually, creating a sense of volume and space that strengthens the composition and brings it to life.",55.0,https://www.artic.edu/artworks/16487/the-bay-of-marseille-seen-from-l-estaque
"Cupid Chastised, 1613, Bartolomeo Manfredi","Following the example of the revolutionary early seventeenth-century artist Michelangelo Merisi da Caravaggio, Bartolomeo Manfredi chose to depict ordinary individuals in his scenes from the Bible and Greek and Roman mythology. Caravaggio had demonstrated to Manfredi and an entire generation of European artists that such lofty themes could be transformed into events experienced by ordinary people. Employing dramatic lighting and locating the action directly before the viewer, these artists were able to endow their narratives with great immediacy and power.",56.0,https://www.artic.edu/artworks/59847/cupid-chastised
"Cupid Chastised, 1613, Bartolomeo Manfredi","Cupid Chastised depicts a moment of high drama: Mars, the god of war, beats Cupid for having caused his affair with Venus, the goddess of love, which exposed him to the derision and outrage of the other gods. Venus implores him in vain to desist. Surrounded by darkness, the three figures are boldly illuminated from the left, intensifying the dynamism and impact of the composition. The sheer physicality of the figures — the crouching Venus, whose broadly realized face strays from the classical ideal; the powerful Mars, whose musculature and brilliant red drapery seem to pulsate with fury; and Cupid, whose naked flesh and recumbent position render him particularly vulnerable—conveys the violent discord of the scene. On one level a tale of domestic disturbance, the story also symbolizes the eternal conflict between love and war.",56.0,https://www.artic.edu/artworks/59847/cupid-chastised
"Into the World There Came a Soul Called Ida, 1929–30, Ivan Albright","Ivan Albright was born and lived most of his life in the Chicago area; because of these ties, he left many of his paintings to the Art Institute, which as a result boasts the largest public collection of the artist’s works. While Albright’s unique style has been called Magic Realism, it defies categorization. His painstaking creative process, driven by his need to record detail meticulously, involved designing sets for his paintings and creating studies of models and props—even making diagrammatic plans for colors. Albright’s desire to present the minutest subtleties of human flesh or the tiniest elements of a still life often required that he spend years on a single painting. His experience as a medical illustrator during World War I is often cited as a determinant of his later, haunting portrayals of aging and decay.",58.0,https://www.artic.edu/artworks/93811/into-the-world-there-came-a-soul-called-ida
"Into the World There Came a Soul Called Ida, 1929–30, Ivan Albright","Albright began Into the World There Came a Soul Called Ida in 1929 after Ida Rogers, then about twenty years old, answered Albright’s advertisement for a model. Ida was an attractive young wife and mother, whom Albright transformed into a sorrowful, middle-aged woman sitting in her dressing room, her flesh drooping, and the objects surrounding her worn and bare. With characteristic precision, the artist delineated even the individual hairs in the comb on the table. The material lightness and precarious placement of her possessions on the dressing table and floor seem to symbolize the vulnerability of the sitter, making this a modern vanitas painting. Ida gazes forlornly and poignantly into the mirror and, with all the dignity she can muster, powders her aging flesh.",58.0,https://www.artic.edu/artworks/93811/into-the-world-there-came-a-soul-called-ida
"E-10: English Dining Room of the Georgian Period, 1770-90, c. 1937, Mrs. James Ward Thorne","The sixty-eight fascinating Thorne Miniature Rooms feature highlights from the history of interior design and decorative arts from the thirteenth century to 1940. These enchanting miniature stage sets were conceived by Mrs. James Ward Thorne of Chicago and constructed between 1934 and 1940 by master craftsmen according to her exacting specifications, on a scale of one inch to one foot. The harmonious elegance seen here is based on two dining rooms designed by Robert Adam, the successful eighteenth-century London architect whose precise and delicate interpretation of the antique (stimulated by then-recent excavations at Herculaneum and Pompeii) dictated English taste for a quarter of a century. To insure perfect conformity, Adam undertook the entire design of a house and every detail of its interior, hiring cabinetmakers to execute furniture that blended Neoclassical elements with current English forms. Instead of using wood and wallpaper, Adam carved low-relief ornament in plaster against painted panels in the style of Roman stuccos, as seen in this dining room. His furniture was often gilded in the Continental fashion, as is the side table in this room. The landscape over the table, painted by one of the many artists that Mrs. Thorne commissioned for the project, is in the style of Claude Lorrain.",59.0,https://www.artic.edu/artworks/43714/e-10-english-dining-room-of-the-georgian-period-1770-90
"Ballet at the Paris Opéra, 1877, Hilaire Germain Edgar Degas","One of the nineteenth century’s most innovative artists, Edgar Degas often combined traditional techniques in unorthodox ways. In Ballet at the Paris Opéra, the artist creatively joined the monotype technique, rarely used in his time, with the fragile medium of pastel. Described as “the powder of butterfly wings,” pastel was the perfect medium to illustrate the onstage metamorphosis of spindly young dancers into visions of beauty as perfect and short-lived as butterflies. This work, executed on one of the widest monotype plates ever used by the artist, bears Degas’s characteristically cropped forms and odd vantage points, which effectively convey the immediacy of the scene. The view is from the orchestra pit, with the necks of the double basses intruding into the dancers’ zone. The central dancer is in fifth position, en pointe, but the random placement of the corps de ballet, with the dancers’ free-flowing hair, suggests a rehearsal rather than a performance. The Paris Opéra was the official school of the first state-supported ballet, the Académie Royale de Danse, created in 1661.",60.0,https://www.artic.edu/artworks/61603/ballet-at-the-paris-opera
"Chicago Stock Exchange Trading Room: Reconstruction at the Art Institute of Chicago, 1893/94 (original built)1972 (original demolished)1976/77 (reconstructed), Adler & Sullivan, Architects","The metal-frame Chicago Stock Exchange building was one of Dankmar Adler and Louis H. Sullivan’s most distinctive commercial structures. The centerpiece of this thirteen-story building was the Trading Room, a dramatic, double-height space that was designed for the daily operations of the Stock Exchange and filled with Sullivan’s lush organic ornament and stenciled patterns. Despite the singular beauty of this room, it served its original function for just fourteen years and was occupied only sporadically thereafter. In the late 1960s, the building was targeted for demolition and became the focus of an important, although ultimately unsuccessful, preservation battle. During the course of demolition, photographer and activist Richard Nickel was working to salvage ornament from the building when the unstable structure collapsed and he was tragically killed. As a tribute to Nickel and Sullivan, sections of the Trading Room stencils, molded pilaster capitals, and art glass were preserved and in 1977 the Art Institute created a complete reconstruction of this significant room in a new wing of the museum. At the same time, the monumental entry arch of the Stock Exchange was erected on the museum grounds near the corner of Monroe Street and Columbus Drive.",61.0,https://www.artic.edu/artworks/156538/chicago-stock-exchange-trading-room-reconstruction-at-the-art-institute-of-chicago
"The Fountain, Villa Torlonia, Frascati, Italy, 1907, John Singer Sargent","The year 1907 was a turning point for John Singer Sargent, as he daringly stepped away from his successful career as a portraitist in favor of plein air painting. This strong and lively work aptly captures that moment of transition, combining landscape and portraiture in a composition that speaks to friendship and painterly pursuits while also celebrating color, surface, and fleeting effects of light and movement. The couple is Wilfrid and Jane Emmet de Glehn, professional artists and Sargent’s frequent traveling companions. Although The Fountain has the appearance of spontaneity, Sargent was frequently interrupted by rain as he worked. He thus completed it over several days, requiring his friends to pose at length.",62.0,https://www.artic.edu/artworks/69780/the-fountain-villa-torlonia-frascati-italy
"Lozenge Composition with Yellow, Black, Blue, Red, and Gray, 1921, Piet Mondrian","Although Piet Mondrian’s abstractions may seem far removed from nature, his basic vision was rooted in landscape, especially the flat geography of his native Holland. Beginning with his early naturalistic landscapes, he reduced natural forms to their simplest linear and colored equivalents to suggest their unity and order. Eventually he eliminated such forms altogether, developing a pure visual language of verticals, horizontals, and primary colors that he believed expressed universal forces.",63.0,https://www.artic.edu/artworks/109819/lozenge-composition-with-yellow-black-blue-red-and-gray
"Lozenge Composition with Yellow, Black, Blue, Red, and Gray, 1921, Piet Mondrian","In Lozenge Composition with Yellow, Black, Blue, Red, and Gray Mondrian rotated a square canvas to create a dynamic relationship between the rectilinear composition and the diagonal lines of the edges of the canvas. Deceptively simple, his works are the result of constant adjustment to achieve absolute balance and harmony, and they reveal an exacting attention to the subtle relations between lines, shapes, and colors. The artist hoped that his paintings would point the way to a utopian future. This goal was first formulated in Holland around 1916–17 by Mondrian and a small group of like-minded artists and architects who collectively referred to their aesthetic as De Stijl (The Style). Their ideas have been extraordinarily influential for all aspects of modern design, from architecture and fashion to household objects.",63.0,https://www.artic.edu/artworks/109819/lozenge-composition-with-yellow-black-blue-red-and-gray
"Nocturne: Blue and Gold—Southampton Water, 1872, James McNeill Whistler","In the early 1870s James McNeill Whistler took a radical step toward abstraction with his Nocturnes series. In keeping with his art-for-art’s-sake creed, these works capture the stillness of evening while evoking the artistry of music. Unlike his earlier marine paintings, the subject of this work—an inlet along the English Channel near Southampton—is obscured by the approaching night. Large shipping vessels appear as ghostly shapes, reduced to shadowy forms by the deepening twilight, while the only points of brightness come from the subtle reflections of lights and the fragmented orb of the moon. The setting thus serves primarily as a vehicle for Whistler’s interest in the tonal harmonies of darkness.",64.0,https://www.artic.edu/artworks/56905/nocturne-blue-and-gold-southampton-water
"Acrobats at the Cirque Fernando (Francisca and Angelina Wartenberg), 1879, Pierre-Auguste Renoir","The two little circus girls in this painting are Francisca and Angelina Wartenberg, who performed as acrobats in the famed Cirque Fernando in Paris. Although they were depicted in the center of a circus ring, the sisters actually posed in costume in Pierre-Auguste Renoir’s studio, enabling him to paint them in daylight. Here he portrayed them just as they have finished their act and are taking their bows. One sister turns to the crowd, acknowledging its approval, while the other faces the viewer with an armful of oranges, a rare treat that the audience has tossed in tribute. Although Acrobats at the Cirque Fernando reﬂects the artist’s enchantment with the innocence of childhood—he has enveloped the girls in a virtual halo of pinks, oranges, yellows, and whites—the partially visible, darkly clothed (mainly male) spectators allude to the less wholesome, nocturnal demimonde of the nineteenth-century circus in which these two young performers grew up. The famed Chicago collector Mrs. Potter Palmer purchased Acrobats at the Cirque Fernando in 1892 and was so enamored of the picture that she kept it with her at all times, even on her travels abroad.",65.0,https://www.artic.edu/artworks/81558/acrobats-at-the-cirque-fernando-francisca-and-angelina-wartenberg
"The Shelton with Sunspots, N.Y., 1926, Georgia O’Keeffe","“I went out one morning to look at [the Shelton Hotel] and there was the optical illusion of a bite out of one side of the tower made by the sun, with sunspots against the building and against the sky,” said Georgia O’Keeffe, recalling the precise moment that inspired her to paint The Shelton with Sunspots. Although her depictions of flowers and the southwestern landscape are powerful and evocative, O’Keeffe painted a group of cityscapes in the 1920s that are no less intriguing. She married the photographer and dealer Alfred Stieglitz in 1924, and the following year they moved into the Shelton, a recently completed skyscraper. O’Keeffe was fascinated by the soaring height of the building and emphasized its majesty in this painting by rendering it from the street below. In the glaring light of the emerging sun, the building becomes an abstracted series of rectangles arranged in the center of the composition. Yet the hard edges of the Shelton are softened by the numerous circular sunspots and wavy, flowing lines of smoke and steam, suggesting that despite her urban subject matter, O’Keeffe nevertheless sought to unify man-made and organic forms, just as she would in her southwestern paintings such as Black Cross, New Mexico .",66.0,https://www.artic.edu/artworks/104031/the-shelton-with-sunspots-n-y
"Landscape with Saint John on Patmos, 1640, Nicolas Poussin","Although French by birth and training, Nicolas Poussin spent most of his career in Rome, immersed in the study of ancient art, where he painted classically inspired works for an educated elite. His art has long been considered the embodiment of the ideals of seventeenth-century classicism. In this painting, Saint John, one of the four Evangelists who wrote the Gospels of the New Testament, reclines beside his attribute, the eagle. He is here depicted as a powerful old man, presumably after retiring to the Greek island of Patmos to write his gospel and the book of Revelation at the end of his life. To suggest the vanished glory of the ancient world, Poussin carefully constructed an idealized setting for the saint, complete with an obelisk, a temple, and column fragments. Man-made and natural forms were adjusted according to principles of geometry and logic to convey the measured order of the scene. Even the profile view of Saint John is in harmony with the classical landscape. This painting may have been part of a projected series on the four Evangelists—in addition to this work, Poussin completed a companion, Landscape with Saint Matthew (1640; Gemäldegalerie, Berlin).",67.0,https://www.artic.edu/artworks/5848/landscape-with-saint-john-on-patmos
"Fishing Boats with Hucksters Bargaining for Fish, 1837/38, Joseph Mallord William Turner","In Fishing Boats with Hucksters Bargaining for Fish, Joseph Mallord William Turner translated his enduring preoccupation with the sea into a dramatic vision. The subject itself and the painting’s low horizon line derive directly from seventeenth-century Dutch sea painting. But where the boats in the seascapes of the period are almost reconstructible in their exactness, Turner’s minimal and more impressionistic depiction of vessels is secondary to the drama of roiling seas, billowing sails, and a threatening sky. With just a few figurative details, Turner roughly sketched in the standing, gesturing figure on the right, who is negotiating to buy fish from the larger, crowded fishing boat on the left. Between them is a mythical golden boat that seems to spring from the artist’s imagination, and on the distant horizon is the suggestion of progress, a steam-driven vessel. With his manipulation of translucent and opaque pigments to create a sense of atmosphere and light, Turner alluded to the insignificance of man in the face of nature’s mysterious and sublime power.",68.0,https://www.artic.edu/artworks/4796/fishing-boats-with-hucksters-bargaining-for-fish
"Love of Winter, 1914, George Wesley Bellows","In January 1914 George Bellows wrote to a friend, “There has been none of my favorite snow. I must always paint the snow at least once a year.” Soon after, on February 13, a major blizzard hit New York City, inspiring the artist to paint Love of Winter. He used bright reds, yellows, and greens to intensify the winter scene and broad, slashing brushstrokes to convey movement, wind, and speed. The energetic group of skaters and onlookers, composed of people of a range of ages and social classes, reflects the diverse populations who enjoyed the public parks and the leisure activities they offered in early 20th-century New York City.",69.0,https://www.artic.edu/artworks/109780/love-of-winter
"The Millinery Shop, 1879/86, Hilaire Germain Edgar Degas","Of at least fifteen pastels, drawings, and paintings that Edgar Degas created on this subject during the 1880s, The Millinery Shop is the largest and perhaps the most ambitious. As a result of its unusual cropping and tilted perspective, it seems to capture an unedited glimpse of the interior of a small nineteenth-century millinery shop. The identity of the young woman in the painting remains unclear: she may be a shop girl or a customer. In an early version of the composition, the woman is clearly intended to be a customer; she wears a fashionable dress, though her hat—a prerequisite token of bourgeois culture—is absent. In the final painting, however, the woman appears with her mouth pursed, as if around a pin, and her hands gloved, possibly to protect the delicate fabric of the hat she holds. Degas seems to have deliberately left her role as a creator or consumer ambiguous. She is totally absorbed in her activity and, like most of the women in Degas’s paintings, seems unaware of being watched. The bonnets that are displayed on the table next to her like a still life present an analogy to the artist’s creative process: where they are unfinished, so too is the painting.",70.0,https://www.artic.edu/artworks/14572/the-millinery-shop
"Old Man with a Gold Chain, 1631, Rembrandt van Rijn","This evocative character study is an early example of a type of subject that preoccupied the great Dutch master Rembrandt van Rijn throughout his long career. Although his large output included landscapes, genre paintings, and the occasional still life, he focused on biblical and historical paintings and on portraits. As an extension of these interests, the artist studied the effect of a single figure, made dramatic through the use of costume and rich, subtle lighting. Rembrandt collected costumes to transform his models into characters. Here, the gold chain and steel gorget suggest an honored military career, while the plumed beret evokes an earlier time. The broad black mass of the old man’s torso against a neutral background is a powerful foil for these trappings. The face is that of a real person, weathered and watchful, glowing with pride and humanity. The unidentified sitter, once thought to be the artist’s father, was a favorite model, appearing in many of the artist’s early works. The confident execution suggests that the young Rembrandt completed this picture about 1631, when he had left his native Leiden to pursue a career in the metropolis of Amsterdam; perhaps he wished to use this work to demonstrate his skill in a genre that combined history painting and portraiture.",71.0,https://www.artic.edu/artworks/95998/old-man-with-a-gold-chain
"Golden Bird, 1919/20 (base c. 1922), Constantin Brancusi","Trained in both folk and academic traditions, Constantin Brâncusi sought his own path for sculpture around 1907. Breaking with the currents of the time, he adopted direct carving, combined different materials for single works, and simplified form in his search for his subjects’ essential characters. His works have profoundly influenced the development of twentieth-century abstraction.",72.0,https://www.artic.edu/artworks/91194/golden-bird
"Golden Bird, 1919/20 (base c. 1922), Constantin Brancusi","More than any other theme, Brâncusi’s series Bird summarizes his quest for a self-sufficient form. “All my life, I have sought to render the essence of flight,” the artist once said. He began the first of twenty-seven Bird sculptures around 1910 and completed the last in the 1940s. He called the earliest variations Maiastra, referring to a bird in Romanian folklore that leads a prince to his princess. In the Art Institute’s Golden Bird, details such as feet, a tail, and an upturned crowing beak are only suggested in an elegant, streamlined silhouette. Brâncusi perched this refined shape on a rough-hewn, geometric base, contrasting the disembodied, light-reflective surface with an earthbound mass. The central polyhedron was cut from the middle of a tree trunk, and its circles (indicating the tree’s age) rotate like a sun, as if radiating light over the bird.",72.0,https://www.artic.edu/artworks/91194/golden-bird
"Hercules and the Lernaean Hydra, 1875/76, Gustave Moreau","Gustave Moreau developed a highly personal vision that combined history, myth, mysticism, and a fascination with the exotic and bizarre. Rooted in the Romantic tradition, Moreau focused on the expression of timeless enigmas of human existence rather than on recording or capturing the realities of the material world.",73.0,https://www.artic.edu/artworks/20579/hercules-and-the-lernaean-hydra
"Hercules and the Lernaean Hydra, 1875/76, Gustave Moreau","Long fascinated with the myth of Hercules, Moreau gave his fertile imagination free rein in Hercules and the Lernaean Hydra. Looming above an almost primordial ooze of brown paint is the seven-headed Hydra, a serpentine monster whose dead and dying victims lie strewn about a swampy ground. Calm and youthful, Hercules stands amid the carnage, weapon in hand, ready to sever the Hydra’s seventh, “immortal” head, which he will later bury.",73.0,https://www.artic.edu/artworks/20579/hercules-and-the-lernaean-hydra
"Hercules and the Lernaean Hydra, 1875/76, Gustave Moreau","Despite the violence of the subject, the painting seems eerily still, almost frozen. Reinforcing this mysterious quality is Moreau’s ability to combine suggestive, painterly passages with obsessive detail. The precision of his draftsmanship and the otherworldliness of his palette are the result of his painstaking methods; he executed numerous preliminary studies for every detail in the composition. In contrast to such exactitude, the artist also made bold, colorful watercolors that eschew detail, as exercises to resolve issues of composition and lighting.",73.0,https://www.artic.edu/artworks/20579/hercules-and-the-lernaean-hydra
"Hercules and the Lernaean Hydra, 1875/76, Gustave Moreau","Moreau seems to have intended this mythological painting to express contemporary political concerns. He was profoundly affected by France’s humiliating military defeat by Prussia in 1870–71. Whether or not Hercules literally personifies France and the Hydra represents Prussia, this monumental work portrays a moral battle between the forces of good and evil, and of light and darkness, with intensity and power.",73.0,https://www.artic.edu/artworks/20579/hercules-and-the-lernaean-hydra
"The Earth Is a Man, 1942, Matta","Trained as an architect, the Chilean-born Roberto Matta moved to France in 1933, where he worked in the studio of Le Corbusier. The following year, he met the poet Federico García Lorca in Spain. After Lorca was assassinated by agents of Francisco Franco in 1936, Matta began a screenplay, The Earth Is a Man, which he wrote in tribute to the slain hero. The play’s apocalyptic imagery, rapidly shifting perspectives, and emotionally charged language became the principal source of Matta’s visual art over the next five years. The painting The Earth Is a Man represents the culmination of this project and draws on the artist’s earlier compositions, which he called “Inscapes” or “Psychological Morphologies.” In these, using a technique of psychic automatism developed by the Surrealists, Matta created turbulent forms that serve as visual analogues for states of consciousness.",74.0,https://www.artic.edu/artworks/117188/the-earth-is-a-man
"The Earth Is a Man, 1942, Matta","In this powerful, enigmatic work, forces of brilliant light seem to battle those of darkness. The artist spilled, brushed, and wiped on vaporous washes of paint to render the invisible waves of energy that shape and dissolve a molten, primordial terrain. The painting’s visual intensity evokes the tumultuous eruption of a volcano, such as one Matta had witnessed in Mexico in 1941. Exhibited shortly after its completion in New York City, where he had immigrated at the onset of World War II, the mural- size canvas, with its abstract and visionary qualities, enthralled and influenced a new generation of American artists, who would come to be known as the Abstract Expressionists.",74.0,https://www.artic.edu/artworks/117188/the-earth-is-a-man
